recorded_at_utc,summary_phase,cycle_number,session_asset,session_event_id,session_market_id,session_condition_id,session_title,session_slug,window_start_utc,window_end_utc,time_left,balance,cash,open_value,exposure,lifetime_buys,realized,unrealized,trades,market_max_alpha,avg_max_alpha,first_entry_rule,total_trades,avg_win_rate_per_trade,avg_trades_per_market,avg_buy_alpha,balance_std_dev,overall_return,return_per_market,return_per_day,this_market,start_ref,current_ref,sigma_per_sqrt_s,fair_up,cycle_duration,reconnects
2026-04-16T01:55:05.198886+00:00,finished,54,ethereum,380344,1987833,0x78cc649ac9e7ace0a02067cfb2578a48f11366379f9b0eb89b1ad1611c49f2e4,"Ethereum Up or Down - April 15, 9:50PM-9:55PM ET",eth-updown-5m-1776304200,2026-04-16T01:50:00+00:00,2026-04-16T01:55:00+00:00,0s,$78.23,$78.23,$0.00,$0.00 / $3.00,$0.39 / $3.00,$-0.39,$0.00,1,0.1817,0.3618,used,167,51.2%,3.09,+0.2021,$0.03,56.5%,0.9%,255.6%,-0.5%,2355.8350,2352.9950,0.128354,0.0000,4m 59s,0
2026-04-16T02:00:05.205959+00:00,finished,55,ethereum,380355,1987848,0x1d429c49b9cca980e52aec6a063106db8d498033798230deee43cfb17bfa8caf,"Ethereum Up or Down - April 15, 9:55PM-10:00PM ET",eth-updown-5m-1776304500,2026-04-16T01:55:00+00:00,2026-04-16T02:00:00+00:00,0s,$80.02,$80.02,$0.00,$0.00 / $3.00,$0.21 / $3.00,$1.79,$0.00,2,0.9788,0.3730,used,169,51.9%,3.07,+0.2063,$0.35,60.0%,0.9%,262.9%,2.3%,2352.9950,2353.0450,0.151220,1.0000,4m 59s,0
2026-04-16T02:05:05.285920+00:00,finished,56,ethereum,380365,1987890,0x28d43bfabafbb701ec3cf230850ac852b14abf9327821ee17e113c1ebf35a7d8,"Ethereum Up or Down - April 15, 10:00PM-10:05PM ET",eth-updown-5m-1776304800,2026-04-16T02:00:00+00:00,2026-04-16T02:05:00+00:00,0s,$79.75,$79.75,$0.00,$0.00 / $3.00,$0.27 / $3.00,$-0.27,$0.00,1,0.1589,0.3692,used,170,51.5%,3.04,+0.2057,$0.02,59.5%,0.9%,256.5%,-0.3%,2352.7850,2355.8850,0.189677,1.0000,4m 59s,0
2026-04-16T02:10:05.334562+00:00,finished,57,ethereum,380377,1987905,0x6430971b01797cadc7bb8f049710b1bda7d7ec267ac0a952f9f592bbfedea622,"Ethereum Up or Down - April 15, 10:05PM-10:10PM ET",eth-updown-5m-1776305100,2026-04-16T02:05:00+00:00,2026-04-16T02:10:00+00:00,0s,$79.92,$79.92,$0.00,$0.00 / $3.00,$0.83 / $3.00,$0.17,$0.00,1,0.1493,0.3654,used,171,51.8%,3.00,+0.2051,$0.07,59.8%,0.9%,253.0%,0.2%,2355.8850,2352.8650,0.135413,0.0000,4m 58s,0
2026-04-16T02:15:05.189726+00:00,finished,58,ethereum,380387,1987915,0xe2c232c317ccbf75f6632d0b928c74962a3e93dec828c6243f6f6e7aca9148dd,"Ethereum Up or Down - April 15, 10:10PM-10:15PM ET",eth-updown-5m-1776305400,2026-04-16T02:10:00+00:00,2026-04-16T02:15:00+00:00,0s,$84.00,$84.00,$0.00,$0.00 / $3.00,$0.91 / $3.00,$4.08,$0.00,6,0.9894,0.3761,used,177,53.3%,3.05,+0.2140,$0.81,68.0%,1.0%,274.0%,5.1%,2352.8650,2351.1200,0.146892,0.0000,4m 59s,0
2026-04-16T02:20:05.210696+00:00,finished,59,ethereum,380391,1987935,0x88c310d506cecd46c8efe127fa9212978e43174c8f9530c36cd472db7e2375da,"Ethereum Up or Down - April 15, 10:15PM-10:20PM ET",eth-updown-5m-1776305700,2026-04-16T02:15:00+00:00,2026-04-16T02:20:00+00:00,0s,$81.88,$81.88,$0.00,$0.00 / $3.00,$2.12 / $3.00,$-2.12,$0.00,5,0.6383,0.3806,used,182,51.7%,3.08,+0.2141,$0.42,63.8%,0.9%,257.0%,-2.5%,2351.8550,2351.5350,0.171765,0.0000,4m 57s,0
2026-04-16T02:25:05.237637+00:00,finished,60,ethereum,380405,1987948,0xdc1cb79bd4dc78a9b85fb626f6e0457f845bc220aaaddfe5e7f771e24647cf4c,"Ethereum Up or Down - April 15, 10:20PM-10:25PM ET",eth-updown-5m-1776306000,2026-04-16T02:20:00+00:00,2026-04-16T02:25:00+00:00,0s,$81.88,$81.88,$0.00,$0.00 / $3.00,$0.00 / $3.00,$0.00,$0.00,0,0.0483,0.3750,armed,182,51.7%,3.03,+0.2141,$0.00,63.8%,0.9%,252.8%,0.0%,2351.5350,2354.1450,0.146329,1.0000,4m 59s,0
2026-04-16T02:30:05.156639+00:00,finished,61,ethereum,380413,1987993,0xb7781e0bcc5a58dc9af9d77dc2d7f2533da80014f7769bbfae3ca00b63382a8f,"Ethereum Up or Down - April 15, 10:25PM-10:30PM ET",eth-updown-5m-1776306300,2026-04-16T02:25:00+00:00,2026-04-16T02:30:00+00:00,0s,$83.35,$83.35,$0.00,$0.00 / $3.00,$0.51 / $3.00,$1.48,$0.00,3,0.2220,0.3725,used,185,52.3%,3.03,+0.2140,$0.03,66.7%,0.9%,257.1%,1.8%,2354.3050,2361.0550,0.204285,1.0000,4m 58s,0
2026-04-16T02:35:05.180875+00:00,finished,62,ethereum,380418,1987996,0xb91bce9f6b458dc43ff8bfde81514e098372fe466dca4621250a9d3f3c27707c,"Ethereum Up or Down - April 15, 10:30PM-10:35PM ET",eth-updown-5m-1776306600,2026-04-16T02:30:00+00:00,2026-04-16T02:35:00+00:00,0s,$82.20,$82.20,$0.00,$0.00 / $3.00,$1.15 / $3.00,$-1.15,$0.00,5,0.9894,0.3825,used,190,50.8%,3.06,+0.2134,$0.94,64.4%,0.9%,246.6%,-1.4%,2361.0250,2361.2250,0.272005,1.0000,4m 59s,0
2026-04-16T02:40:05.214586+00:00,finished,63,ethereum,380435,1988031,0x9bba5f38027712acc7272031950e253e25112e24ceac808676ff8e44eb85d7dc,"Ethereum Up or Down - April 15, 10:35PM-10:40PM ET",eth-updown-5m-1776306900,2026-04-16T02:35:00+00:00,2026-04-16T02:40:00+00:00,0s,$82.59,$82.59,$0.00,$0.00 / $3.00,$0.61 / $3.00,$0.38,$0.00,2,0.2046,0.3796,used,192,51.1%,3.05,+0.2132,$0.06,65.2%,0.8%,244.8%,0.5%,2361.4150,2365.6050,0.213041,1.0000,4m 59s,0
2026-04-16T02:45:05.207790+00:00,finished,64,ethereum,380442,1988038,0x4fe805990cd5db05342209913a3f5b32b5ef470a2d203ba80f97acbfb681e9f9,"Ethereum Up or Down - April 15, 10:40PM-10:45PM ET",eth-updown-5m-1776307200,2026-04-16T02:40:00+00:00,2026-04-16T02:45:00+00:00,0s,$82.26,$82.26,$0.00,$0.00 / $3.00,$0.33 / $3.00,$-0.33,$0.00,3,0.2072,0.3770,used,195,50.3%,3.05,+0.2125,$0.06,64.5%,0.8%,239.2%,-0.4%,2365.6050,2368.7950,0.190858,1.0000,4m 59s,0
2026-04-16T02:50:06.030071+00:00,finished,65,ethereum,380451,1988050,0x858d54c28875b43b21b42f517b4199cecf48b6830cb08ab86b42bed1ae6c3ed4,"Ethereum Up or Down - April 15, 10:45PM-10:50PM ET",eth-updown-5m-1776307500,2026-04-16T02:45:00+00:00,2026-04-16T02:50:00+00:00,0s,$82.74,$82.74,$0.00,$0.00 / $3.00,$0.52 / $3.00,$0.48,$0.00,1,0.1555,0.3735,used,196,50.5%,3.02,+0.2119,$0.00,65.5%,0.8%,238.1%,0.6%,2368.9250,2359.5950,0.235806,0.0000,4m 59s,0
2026-04-16T02:55:05.789921+00:00,finished,66,ethereum,380466,1988064,0xb5bf3ffaa39620dcb33caea33e4bf0b1deb2f2b78a5d0d6c7271d726f0737764,"Ethereum Up or Down - April 15, 10:50PM-10:55PM ET",eth-updown-5m-1776307800,2026-04-16T02:50:00+00:00,2026-04-16T02:55:00+00:00,0s,$83.31,$83.31,$0.00,$0.00 / $3.00,$0.44 / $3.00,$0.56,$0.00,1,0.1569,0.3703,used,197,50.8%,2.98,+0.2114,$0.01,66.6%,0.8%,237.5%,0.7%,2359.6550,2357.3750,0.147488,0.0000,4m 57s,0
